Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
1981,Feb,585,1106,855,13,99,2657
1981,Mar,546,1180,1120,12,111,2968
1981,Apr,612,1364,1247,11,102,3335
1981,May,681,1488,1376,11,41,3597
1981,Jun,736,1568,1404,11,38,3756
1981,Jul,967,1735,1466,11,17,4197
1981,Aug,1049,1721,1458,11,19,4259
1981,Sep,1029,1759,1498,12,40,4336
1981,Oct,786,1642,1388,12,75,3903
1981,Nov,595,1377,1252,12,86,3322
1981,Dec,550,1246,1181,13,108,3097
1982,Jan,587,1209,996,13,94,2898
1982,Feb,611,1192,916,14,91,2824
1982,Mar,579,1343,1171,12,82,3187
1982,Apr,625,1423,1234,12,48,3343
1982,May,659,1638,1367,12,6,3681
1982,Jun,788,1854,1406,11,2,4061
1982,Jul,1011,2040,1514,11,60,4636
1982,Aug,1137,1980,1456,12,107,4693
1982,Sep,1074,2085,1478,13,103,4754
1982,Oct,863,1901,1350,13,99,4225
1982,Nov,693,1779,1343,17,135,3966
1982,Dec,601,1508,1207,13,153,3481
1983,Jan,678,1458,1134,15,136,3421
1983,Feb,691,1409,906,15,117,3139
1983,Mar,693,1486,1065,14,61,3319
1983,Apr,753,1731,1295,14,29,3822
1983,May,747,1946,1444,13,30,4180
1983,Jun,972,2139,1561,14,29,4714
1983,Jul,1260,2276,1656,13,30,5233
1983,Aug,1251,2307,1688,14,152,5411
1983,Sep,1234,2333,1620,14,193,5393
1983,Oct,1053,2194,1554,14,187,5002
1983,Nov,723,1917,1489,15,171,4315
1983,Dec,631,1653,1409,15,189,3898
1984,Jan,752,1617,1342,17,311,4039
1984,Feb,783,1546,1049,17,266,3661
1984,Mar,681,1649,1314,17,251,3912
1984,Apr,714,1790,1417,18,251,4190
1984,May,751,2028,1635,17,150,4582
1984,Jun,1013,2314,1674,15,56,5072
1984,Jul,1206,2455,1783,14,90,5548
1984,Aug,1298,2509,1843,15,186,5851
1984,Sep,1213,2418,1742,16,200,5588
1984,Oct,985,2352,1702,14,259,5312
1984,Nov,740,2082,1593,18,306,4739
1984,Dec,680,1850,1451,18,336,4334
1985,Jan,825,1820,1417,19,326,4407
1985,Feb,720,1620,1094,18,281,3733
1985,Mar,766,1728,1138,20,283,3934
1985,Apr,770,1900,1413,19,267,4368
1985,May,877,2364,1675,18,245,5178
1985,Jun,1096,2403,1681,16,267,5463
1985,Jul,1215,2607,1786,15,291,5915
1985,Aug,1411,2810,1900,16,389,6526
1985,Sep,1207,2535,1697,17,305,5759
1985,Oct,1022,2636,1789,16,341,5805
1985,Nov,867,2364,1710,17,347,5305
1985,Dec,743,2007,1520,18,438,4726
1986,Jan,844,2054,1534,17,485,4935
1986,Feb,803,1745,1081,18,330,3977
1986,Mar,769,1744,1284,18,356,4171
1986,Apr,861,2321,1762,18,404,5365
1986,May,901,2558,1861,18,298,5636
1986,Jun,1213,2743,1949,18,258,6181
1986,Jul,1520,2961,2094,18,43,6636
1986,Aug,1537,2914,2108,18,329,6906
1986,Sep,1616,2945,2085,18,460,7124
1986,Oct,1121,2699,2023,18,456,6318
1986,Nov,858,2339,1827,18,415,5457
1986,Dec,765,2156,1784,18,516,5238
1987,Jan,842,2074,1629,18,522,5086
1987,Feb,840,2151,1393,18,504,4907
1987,Mar,803,2280,1785,18,589,5474
1987,Apr,904,2483,1909,18,512,5826
1987,May,987,2684,2075,18,383,6147
1987,Jun,1222,2906,2139,19,287,6573
1987,Jul,1749,3290,2339,19,314,7710
1987,Aug,1744,3099,2262,19,269,7392
1987,Sep,1775,3313,2389,19,323,7819
1987,Oct,1258,3019,2172,19,275,6743
1987,Nov,998,2717,2035,19,333,6103
1987,Dec,900,2386,1851,19,594,5750
1988,Jan,916,2391,1816,19,467,5609
1988,Feb,829,2187,1477,19,400,4911
1988,Mar,976,2388,1664,19,393,5439
1988,Apr,1017,2547,1953,18,367,5901
1988,May,1180,3024,2203,19,216,6643
1988,Jun,1645,3336,2331,18,247,7578
1988,Jul,2037,3472,2385,19,403,8316
1988,Aug,1962,3413,2412,19,469,8275
1988,Sep,1956,3536,2417,19,543,8471
1988,Oct,1351,3169,2243,19,550,7332
1988,Nov,963,2807,2050,19,537,6375
1988,Dec,881,2549,1926,19,592,5968
1989,Jan,1013,2623,1915,20,534,6105
1989,Feb,1023,2329,1331,20,359,5062
1989,Mar,903,2570,1826,20,710,6029
1989,Apr,1037,2841,2006,20,546,6450
1989,May,1142,3203,2185,20,517,7067
1989,Jun,1599,3535,2317,20,485,7956
1989,Jul,2134,3762,2457,20,616,8989
1989,Aug,2171,3763,2468,20,682,9105
1989,Sep,2370,3918,2455,20,516,9278
1989,Oct,1647,3535,2289,20,494,7984
1989,Nov,1090,3247,2091,20,482,6929
1989,Dec,946,2772,1838,20,430,6006
1990,Jan,1069,2739,1729,20,422,5980
1990,Feb,1117,2657,1394,20,394,5582
1990,Mar,1045,2830,1865,21,388,6149
1990,Apr,1093,3078,1971,21,399,6562
1990,May,1194,3382,2140,20,454,7191
1990,Jun,1640,3901,2362,21,514,8438
1990,Jul,2537,4164,2421,21,610,9753
1990,Aug,2665,4242,2479,21,790,10198
1990,Sep,2697,4101,2369,21,666,9854
1990,Oct,1772,3836,2216,21,613,8458
1990,Nov,1202,3594,2113,21,622,7552
1990,Dec,1007,3056,1873,21,598,6555
1991,Jan,1130,3198,1898,21,684,6931
1991,Feb,1057,2766,1385,21,354,5584
1991,Mar,1065,2994,1624,21,581,6285
1991,Apr,1236,3603,2159,21,688,7707
1991,May,1361,3909,2245,21,793,8329
1991,Jun,2403,4170,2319,21,827,9741
1991,Jul,2630,4494,2444,22,1073,10663
1991,Aug,2762,4576,2455,22,1181,10996
1991,Sep,2629,4343,2298,22,1139,10431
1991,Oct,2048,4238,2304,22,1334,9946
1991,Nov,1230,3623,2069,22,1206,8150
1991,Dec,1036,3330,1850,22,1159,7397
1992,Jan,1301,3398,1891,22,1206,7818
1992,Feb,1255,3005,1337,22,702,6321
1992,Mar,1183,3258,1789,22,1227,7479
1992,Apr,1239,3552,1918,23,985,7716
1992,May,1540,4091,2162,23,1228,9043
1992,Jun,1827,4333,2207,23,1238,9627
1992,Jul,2602,4757,2352,22,1524,11258
1992,Aug,2918,4611,2250,23,2068,11870
1992,Sep,3207,4998,2376,23,1914,12518
1992,Oct,2286,4543,2168,23,1710,10729
1992,Nov,1218,3735,1888,23,1879,8742
1992,Dec,1140,3689,1857,23,2185,8894
1993,Jan,1305,3565,1560,23,1270,7722
1993,Feb,1374,3231,1319,24,1421,7368
1993,Mar,1209,3734,1750,23,1990,8705
1993,Apr,1422,4076,1841,23,1899,9261
1993,May,1678,4538,1953,23,2147,10339
1993,Jun,2424,4870,2026,23,1827,11170
1993,Jul,3251,5387,2151,23,1786,12598
1993,Aug,3450,5178,2132,23,1535,12319
1993,Sep,3108,5381,2161,23,1149,11823
1993,Oct,2100,4714,1885,23,478,9200
1993,Nov,1435,4387,1819,23,359,8023
1993,Dec,1336,4071,1711,23,343,7485
1994,Jan,1438,3964,1670,24,386,7481
1994,Feb,1333,3594,1250,23,73,6274
1994,Mar,1391,3879,1518,24,288,7100
1994,Apr,1622,4573,1781,24,408,8408
1994,May,2267,5123,1931,24,677,10022
1994,Jun,2824,5339,1966,24,1067,11219
1994,Jul,3219,5489,1962,23,864,11558
1994,Aug,3085,5435,2004,23,609,11156
1994,Sep,3218,5702,2031,23,620,11595
1994,Oct,2428,5178,1916,24,391,9938
1994,Nov,1591,4671,1725,23,428,8438
1994,Dec,1413,4559,1682,23,516,8193
1995,Jan,1526,4183,1537,24,449,7718
1995,Feb,1575,3795,1166,23,257,6816
1995,Mar,1452,4078,1437,24,596,7587
1995,Apr,1593,4430,1564,24,591,8202
1995,May,2006,5254,1819,24,1189,10292
1995,Jun,3104,5858,1919,23,1072,11976
1995,Jul,3486,5844,1933,24,345,11632
1995,Aug,3249,5709,1886,24,199,11067
1995,Sep,3419,5967,1912,24,187,11509
1995,Oct,2498,5480,1832,24,174,10008
1995,Nov,1773,5002,1736,23,143,8677
1995,Dec,1383,4308,1481,24,137,7333
1996,Jan,1549,4495,1510,24,137,7715
1996,Feb,1516,4147,1343,24,95,7124
1996,Mar,1734,4347,1346,24,137,7587
1996,Apr,1737,4773,1584,24,139,8256
1996,May,1805,5342,1673,24,162,9006
1996,Jun,2893,5867,1788,24,176,10748
1996,Jul,3847,6402,1908,24,193,12374
1996,Aug,4025,6510,1985,24,195,12739
1996,Sep,3700,6134,1815,24,185,11857
1996,Oct,2767,6090,1779,24,177,10836
1996,Nov,2122,5615,1731,24,163,9655
1996,Dec,1500,4743,1473,24,152,7892
1997,Jan,1663,4843,1484,24,150,8164
1997,Feb,1666,4244,1151,24,102,7187
1997,Mar,1454,4352,1275,25,157,7263
1997,Apr,1715,5454,1699,25,165,9057
1997,May,2132,5972,1715,25,183,10027
